iter	Passed	Remaining
399	61495	92242
400	61614	92037
401	61758	91869
402	61897	91693
403	61970	91422
404	62085	91212
405	62213	91021
406	62340	90830
407	62468	90641
408	62653	90534
409	62795	90364
410	62944	90204
411	63069	90011
412	63202	89830
413	63379	89711
414	63486	89492
415	63628	89324
416	63784	89176
417	63968	89066
418	64173	88985
419	64295	88788
420	64454	88644
421	64612	88497
422	64801	88393
423	64921	88195
424	65059	88021
425	65203	87855
426	65313	87645
427	65407	87413
428	65489	87166
429	65616	86980
430	65714	86755
431	65851	86582
432	65997	86421
433	66233	86377
434	66352	86181
435	66449	85958
436	66583	85781
437	66728	85619
438	66866	85448
439	66971	85236
440	67100	85055
441	67223	84866
442	67352	84685
443	67475	84496
444	67588	84296
445	67735	84137
446	67909	84012
447	68010	83798
448	68158	83642
449	68285	83460
450	68381	83240
451	68505	83055
452	68620	82860
453	68706	82629
454	68830	82445
455	68975	82286
456	69081	82081
457	69222	81917
458	69363	81755
459	69518	81608
460	69721	81517
461	69878	81373
462	69983	81168
463	70104	80983
464	70274	80853
465	70503	80791
466	70631	80614
467	70822	80507
468	70988	80372
469	71095	80171
470	71205	79974
471	71353	79818
472	71503	79667
473	71605	79461
474	71721	79271
475	71805	79046
476	71974	78915
477	72181	78825
478	72342	78686
479	72456	78495
480	72626	78363
481	72812	78250
482	72962	78098
483	73128	77963
484	73287	77821
485	73424	77654
486	73557	77484
487	73693	77317
488	73811	77132
489	73964	76983
490	74056	76771
491	74158	76570
492	74285	76395
493	74429	76237
494	74542	76048
495	74619	75822
496	74729	75631
497	74898	75500
498	75056	75357
499	75158	75158
500	75277	74977
501	75401	74800
502	75540	74639
503	75699	74497
504	75836	74334
505	75995	74193
506	76123	74021
507	76290	73887
508	76401	73700
509	76531	73530
510	76710	73407
511	76816	73215
512	76916	73018
513	77056	72858
514	77226	72728
515	77339	72543
516	77455	72361
517	77561	72170
518	77710	72020
519	77843	71855
520	77974	71688
521	78083	71501
522	78187	71310
523	78335	71159
524	78463	70990
525	78573	70805
526	78751	70682
527	78952	70579
528	79070	70400
529	79177	70214
530	79338	70074
531	79490	69927
532	79634	69773
533	79778	69619
534	79937	69478
535	80117	69355
536	80308	69242
537	80449	69084
538	80556	68899
539	80727	68767
540	80795	68549
541	80940	68395
542	81131	68282
543	81230	68090
544	81384	67944
545	81561	67818
546	81702	67662
547	81848	67509
548	81996	67359
549	82116	67186
550	82262	67033
551	82389	66866
552	82578	66749
553	82714	66589
554	82841	66422
555	82981	66265
556	83070	66068
557	83204	65907
558	83365	65767
559	83518	65621
560	83660	65466
561	83795	65306
562	83962	65171
563	84060	64982
564	84150	64788
565	84302	64642
566	84487	64520
567	84580	64328
568	84713	64168
569	84894	64042
570	85064	63910
571	85193	63746
572	85308	63571
573	85450	63417
574	85601	63270
575	85754	63124
576	85850	62937
577	85978	62773
578	86116	62616
579	86255	62461
580	86420	62323
581	86509	62132
582	86611	61950
583	86721	61774
584	86825	61594
585	86899	61393
586	87007	61216
587	87113	61038
588	87278	60902
589	87378	60720
590	87483	60542
591	87598	60372
592	87754	60229
593	87876	60063
594	88010	59906
595	88196	59783
596	88307	59610
597	88479	59479
598	88613	59322
599	88729	59152
600	88876	59004
601	89021	58854
602	89176	58711
603	89345	58577
604	89517	58445
605	89658	58293
606	89796	58138
607	89897	57959
608	89987	57775
609	90124	57620
610	90273	57473
611	90404	57315
612	90556	57170
613	90716	57030
614	90793	56838
615	90952	56697
616	91077	56535
617	91214	56381
618	91378	56243
619	91489	56074
620	91613	55912
621	91736	55749
622	91880	55600
623	91967	55416
624	92104	55262
625	92250	55114
626	92378	54955
627	92463	54771
628	92615	54626
629	92743	54468
630	92895	54323
631	93023	54165
632	93124	53991
633	93291	53855
634	93421	53698
635	93580	53558
636	93722	53408
637	93911	53285
638	94065	53141
639	94178	52975
640	94338	52835
641	94543	52720
642	94668	52560
643	94825	52419
644	94981	52276
645	95130	52130
646	95274	51981
647	95410	51828
648	95529	51665
649	95659	51508
650	95800	51358
651	95940	51207
652	96141	51088
653	96304	50950
654	96506	50831
655	96650	50682
656	96753	50512
657	96907	50368
658	97001	50193
659	97126	50034
660	97228	49864
661	97357	49708
662	97490	49553
663	97626	49401
664	97783	49259
665	97883	49088
666	97997	48925
667	98110	48761
668	98197	48585
669	98333	48432
670	98469	48280
671	98542	48098
672	98724	47968
673	98827	47801
674	98982	47658
675	99113	47504
676	99251	47353
677	99384	47200
678	99560	47067
679	99669	46903
680	99792	46745
681	99927	46593
682	100015	46419
683	100162	46273
684	100284	46116
685	100429	45969
686	100547	45809
687	100639	45638
688	100785	45492
689	100950	45354
690	101059	45191
691	101174	45031
692	101256	44856
693	101400	44709
694	101513	44549
695	101616	44384
696	101764	44239
697	101906	44091
698	102008	43926
699	102131	43770
700	102265	43619
701	102439	43485
702	102567	43332
703	102761	43206
704	102917	43064
705	103080	42925
706	103179	42760
707	103354	42626
708	103463	42465
709	103587	42310
710	103736	42165
711	103861	42011
712	104023	41872
713	104126	41709
714	104249	41553
715	104424	41419
716	104547	41264
717	104680	41114
718	104815	40964
719	104916	40800
720	105091	40666
721	105238	40521
722	105356	40364
723	105464	40204
724	105630	40066
725	105823	39939
726	105973	39794
727	106107	39644
728	106267	39504
729	106434	39366
730	106669	39253
731	106805	39103
732	106903	38940
733	107079	38805
