iter	MultiClass
162	0.3083039724
163	0.3061702487
164	0.3055297542
165	0.304477166	166	0.3038432167	167	0.3025532168	168	0.3014736169	0.2965840864
170	0.2955478724
171	0.2947070299
172	0.2935357175
173	0.2927009344
174	0.2908130368
175	0.2896969905
176	0.2885125928
177	0.286696962
178	0.2851170336
179	0.2834110957
180	0.2824216004
181	0.2809619711
182	0.2802626422
183	0.2790877389
184	0.2775884973
185	0.2760585368
186	0.2748406673
187	0.2740711133
188	0.2724691853
189	0.2713146958
190	0.2708496291
191	0.2690070036
192	0.2673330353
193	0.2659638364
194	0.2652714286
195	0.2643214735
196	0.2631556797
197	0.2623470536
198	0.2612895576
199	0.2609590923
200	0.2594481839
201	0.2590013094
202	0.2580942753
203	0.2570201175
204	0.2558301141
205	0.2551328371
206	0.2543664923
207	0.2536364375
208	0.2530475607
209	0.2525162753
210	0.2515245964
211	0.2500043463
212	0.2496952519
213	0.2489835936
214	0.2487382619
215	0.2482216678
216	0.2468801491
217	0.2461958382
218	0.2452733009
219	0.2444877856
220	0.2431619755
221	0.2427508016
222	0.2419246054
223	0.240787617
224	0.2395638956
225	0.2390397486
226	0.2382059919
227	0.2373373679
228	0.2368622125
229	0.2364802623
230	0.2358946156
231	0.2355038129
232	0.2345609412
233	0.233418379
234	0.2326429657
235	0.2312227966
236	0.2305393333
237	0.2293984913
238	0.2284188562
239	0.227805042
240	0.22691429
241	0.2261290697
242	0.2256819575
243	0.224097118
244	0.2235153706
245	0.2225019249
246	0.2218913435
247	0.2216015146
248	0.2212237642
249	0.2203477554
250	0.219575937
251	0.2189307663
252	0.2180538301
253	0.2174359948
254	0.2171827603
255	0.216276292
256	0.2153834961
257	0.2148974823
258	0.2142356833
259	0.2138472649
260	0.2125737484
261	0.2116180282
262	0.2111541985
263	0.2103626444
264	0.2097263921
265	0.209082188
266	0.2084600192
267	0.207929537
268	0.2077855559
269	0.2074141215
270	0.2071883272
271	0.2064465635
272	0.2057059755
273	0.2050882487
274	0.2043561304
275	0.2033555166
276	0.2028831237
